first_name,last_name,birthdate,email,phone,address_id,registration_date,customer_id,VIP
Ida,Daraż,1987-06-03,IdDara@o2.pl,312326160,423,2021-01-04,1,2021-02-19
Sara,Smagacz,1958-04-28,SaSm@o2.pl,695203223,311,2021-01-04,2,2021-09-07
Antoni,Kielczyk,1985-03-30,AntonKielczy42@o2.pl,501502971,49,2021-01-04,3,2023-06-05
Julian,Hyjek,1956-05-26,JulHyje76@gmail.com,223781981,548,2021-01-04,4,2023-04-03
Łukasz,Durma,1972-11-18,ŁukasDur@live.com,208420032,24,2021-01-04,5,2022-04-17
Леонід,Байрак,1951-10-25,ЛеБайра33@mail.ru,675537798,320,2021-01-04,6,2021-05-21
Надія,Андрієнко,2005-05-23,НадіАндрі@live.com,303089504,0,2021-01-04,7,2022-07-14
Nela,Surdyk,1965-05-24,NelSur14@o2.pl,526653640,442,2021-01-04,8,2023-04-30
Andrzej,Drózd,1968-02-15,AndrzDr92@live.com,984191472,30,2021-01-04,9,2021-07-03
Марʼяна,Безбородько,1971-11-08,МарБезбо93@live.com,290310820,265,2021-01-04,10,2021-03-21
Jeremi,Kurc,1952-02-26,JerKu@wp.pl,770380906,422,2021-01-04,11,2021-06-07
Mikołaj,Niklewicz,1962-04-16,MikołaNikle@gmail.com,272915957,313,2021-01-04,12,2023-05-13
Monika,Burzawa,1999-10-11,MonikBu99@wp.pl,152414317,400,2021-01-04,13,2021-02-18
Ліза,Охримович,1986-11-17,ЛіОхримови@live.com,419919392,453,2021-01-04,14,2022-12-25
Маруся,Безбородьки,1996-07-06,МаБезборо88@mail.ru,559392497,438,2021-01-04,15,2021-02-18
Kacper,Niemczuk,1977-12-29,KaNiemc@o2.pl,635655910,124,2021-01-04,16,2021-01-10
Феофан,Корж,1976-10-28,ФеофаКор@live.com,816648000,360,2021-01-05,17,2022-02-25
Robert,Sroga,1975-10-30,RobeSr80@gmail.com,211873129,135,2021-01-05,18,2023-03-08
Liwia,Świt,1971-07-26,LiŚw68@o2.pl,925711942,163,2021-01-05,19,2021-02-18
Róża,Pysz,1975-11-20,RóPys@wp.pl,283209622,491,2021-01-05,20,2023-04-07
Błażej,Frankowicz,1970-11-20,BłFr@o2.pl,114601832,353,2021-01-05,21,2021-04-30
Julianna,Solich,1973-01-10,JuliSol@wp.pl,650543251,78,2021-01-05,22,2022-01-11
Oliwier,Wojcik,1982-09-24,OliwWo@wp.pl,244498435,230,2021-01-05,23,2022-01-27
Olga,Tabak,1956-10-07,OlgTa22@o2.pl,332085051,86,2021-01-05,24,2022-10-13
Tadeusz,Kostera,1955-07-03,TadKos@wp.pl,517849059,344,2021-01-05,25,2022-01-16
Єфрем,Худяк,1983-02-24,ЄфХу@gmail.com,697307743,245,2021-01-05,26,2021-02-02
Tymon,Kostera,1987-03-16,TyKos62@wp.pl,918128456,575,2021-01-05,27,2023-03-21
Jerzy,Hołysz,1957-11-16,JerHołys94@o2.pl,604945901,377,2021-01-06,28,2021-01-24
Захар,Таран,1969-09-23,ЗаТа@mail.ru,167356869,255,2021-01-06,29,2022-03-11
Cezary,Janisz,2009-09-30,CezarJani@o2.pl,910460688,14,2021-01-06,30,2021-04-05
Hermine,Gutknecht,1993-10-12,HerminGutk25@web.de,575462198,359,2021-01-06,31,2021-04-27
Людмила,Пелех,1949-12-17,ЛюдмилПе7@mail.ru,600743718,260,2021-01-06,32,2021-01-25
Tadeusz,Janiuk,1958-09-23,TadeusJani89@wp.pl,808436117,301,2021-01-06,33,2023-02-14
Kaja,Bugla,1962-08-18,KajBug57@gmail.com,770568866,373,2021-01-07,34,2023-05-24
Nicole,Wojtunik,2001-09-15,NicWojtu14@o2.pl,443358126,310,2021-01-08,35,2021-08-15
Róża,Warzybok,1948-08-16,RóWarz12@gmail.com,174348940,1,2021-01-09,36,2021-02-03
Anna Maria,Bryzek,1967-09-25,AnBryz@live.com,579886099,226,2021-01-11,37,2022-01-08
Blanka,Cywka,1985-02-16,BlaCyw24@o2.pl,413678942,512,2021-01-11,38,2022-05-09
Alan,Żółkiewicz,1991-09-18,AlaŻół99@gmail.com,301903277,224,2021-01-12,39,2021-03-26
Jaroslaw,Hartung,2001-06-13,JaroHa56@gmail.com,219606279,542,2021-01-13,40,2021-06-29
Aurelia,Kiwior,1974-02-07,AurKi18@wp.pl,545905133,315,2021-01-13,41,2021-05-13
Aniela,Durlak,1948-05-29,AnDur@gmail.com,119695158,147,2021-01-14,42,2022-09-25
Apolonia,Kręgiel,1944-05-18,ApKręg73@gmail.com,771187865,302,2021-01-14,43,2022-07-27
Сніжана,Перепелиця,1983-02-28,СніПерепелиц11@gmail.com,396826583,98,2021-01-15,44,2021-11-22
Тетяна,Уманець,1967-04-09,ТетяУмане@gmail.com,757136103,566,2021-01-16,45,2021-12-25
Patryk,Łobacz,1990-09-19,PatryŁobac0@gmail.com,350687514,325,2021-01-17,46,2022-03-09
Bianka,Pajek,2001-03-29,BianPaj@gmail.com,882116187,587,2021-01-18,47,2021-10-07
Dominik,Radzio,1945-10-13,DoRadzi@live.com,804188609,517,2021-01-18,48,2021-07-26
Ignacy,Organiściak,1994-12-24,IgnOrganiści66@o2.pl,131197739,540,2021-01-21,49,2021-01-30
Ernest,Wołkowicz,1979-02-09,ErnesWołkowic99@wp.pl,205922700,452,2021-01-21,50,2022-09-01
Maciej,Duras,1948-07-09,MaciDur56@o2.pl,434819093,481,2021-01-22,51,2021-04-17
Jerzy,Cyrek,1985-03-12,JeCyr11@o2.pl,374117755,475,2021-01-24,52,2021-05-10
Vlado,Bruder,1986-04-09,VlaBru@gmx.net,519364594,131,2021-01-24,53,2021-07-18
Борислав,Жайворон,1945-04-02,БориЖай71@mail.ru,153864782,106,2021-01-24,54,2021-02-28
Kazimierz,Roś,1990-03-20,KazimierRo38@live.com,812647844,44,2021-01-25,55,2021-04-18
