customer_id,first_name,last_name,birthdate,VIP,email,phone,address_id,registration_date
1,Adam,Soczówka,1980-03-19,2021-06-23,AdSoczó98@o2.pl,747747165,33,2023-05-17
2,Damian,Żabka,2002-11-22,2021-05-24,DaŻa29@gmail.com,178570206,8,2021-02-23
3,Оксенія,Жук,1968-06-26,2021-04-02,ОксенЖу@live.com,354977755,218,2021-12-27
4,Marianna,Kościuszko,1959-10-24,2021-06-30,MarianKościu86@live.com,756338726,366,2022-03-26
5,Anne,Carsten,1990-05-07,2021-07-07,AnCar@gmx.net,863033383,391,2021-02-06
6,Tymon,Kobos,1947-01-27,2021-08-22,TyKob7@wp.pl,856493572,102,2023-04-25
7,Hubert,Mendak,1988-11-04,2021-09-14,HubeMend@live.com,889997525,503,2023-04-18
8,Nicolas,Neureuther,1983-04-29,2021-06-30,NicolaNeureu@web.de,250777323,210,2021-05-16
9,Hans-Walter,Rosemann,1975-04-17,2021-07-27,HanRose@live.com,828628921,541,2022-10-31
10,Sonia,Ryznar,2004-11-29,2021-04-20,SonRy35@wp.pl,638510471,351,2021-12-25
11,Heinz-Werner,Heinrich,1978-05-08,2021-08-30,Heinz-Hei36@live.com,784120762,161,2021-03-17
12,Rozalia,Kosiak,1985-03-29,2021-03-28,RozaliKosia@live.com,677721274,396,2023-03-07
13,Andrzej,Srokosz,1949-11-23,2021-05-27,AndrzSrok89@live.com,684165870,135,2021-05-10
14,Ada,Kapral,1994-12-19,2021-03-20,AdKapr8@live.com,265546641,433,2023-03-16
15,Aurelia,Frelich,1962-06-13,2021-06-08,AurelFrelic90@live.com,344931088,15,2021-04-08
16,Jadwiga,Schmiedecke,1976-08-14,2021-04-26,JadwigSchm@gmx.net,941620879,560,2021-09-15
17,Franciszek,Mitoraj,1999-05-05,2021-06-28,FranciMit76@o2.pl,122542095,13,2022-09-15
18,Ehrentraud,Lehmann,1981-03-02,2021-04-16,EhrLehman48@gmx.net,954972016,9,2022-07-05
19,Mieszko,Wydmuch,1988-06-16,2021-07-18,MieszWy19@gmail.com,413297357,592,2022-10-04
20,Fryderyk,Ufnal,1942-07-27,2021-04-17,FrydUf75@live.com,692759570,52,2021-10-22
21,Anita,Jośko,1970-09-29,2021-03-14,AnJośk@gmail.com,619151052,531,2021-01-20
