customer_id,first_name,last_name,birthdate,email,phone,address_id,registration_date,customer_id,VIP
1,Juliusz,Dziczek,1999-12-31,JuliusDzic1@o2.pl,677121790,566,2021-01-04,1,2022-08-20
2,Monika,Hawrylak,1978-10-19,MoniHa@gmail.com,744731068,300,2021-01-04,2,2021-01-17
3,Jan,Dybiec,1973-12-04,JaDyb@gmail.com,785480450,413,2021-01-04,3,2021-03-22
4,Bianka,Ambrozik,1982-04-09,BiaAmbrozi100@gmail.com,818192184,377,2021-01-04,4,2022-11-17
5,Hans-Henning,Hesse,1969-06-30,Hans-HHe@gmx.net,729242401,24,2021-01-04,5,2021-01-15
6,Sandra,Borzym,1945-11-06,SaBorzy67@live.com,660444429,328,2021-01-04,6,2021-03-18
7,Ada,Zaniewicz,1986-09-14,AdZani64@gmail.com,865905909,543,2021-01-04,7,2021-03-01
8,Marcelina,Leks,1976-01-21,MarcLe@o2.pl,110465037,189,2021-01-04,8,2023-03-31
9,Венедикт,Данькевич,1953-08-24,ВеДа@live.com,763949456,428,2021-01-04,9,2021-02-13
10,Marcin,Dynak,1966-01-27,MarDyn@wp.pl,284143446,165,2021-01-04,10,2021-04-11
11,Blanka,Majtczak,2005-12-04,BlanMajtcza@wp.pl,552082645,526,2021-01-04,11,2021-09-05
12,Marcin,Tofil,1992-02-02,MarcTofi94@gmail.com,532523982,574,2021-01-04,12,2021-04-30
13,Radim,Novák,1946-04-11,RadNová@szn.cz,338731271,581,2021-01-04,13,2021-01-31
14,Justyna,Moneta,2006-05-05,JuMo@o2.pl,689959405,269,2021-01-04,14,2022-03-18
15,Emil,Danilczuk,1977-12-10,EmDanil13@wp.pl,611405618,466,2021-01-04,15,2021-09-07
16,Alex,Bastek,1976-04-25,AleBast93@wp.pl,259242227,539,2021-01-04,16,2021-04-01
17,Kaja,Joniak,1950-12-16,KajJoni71@wp.pl,619619642,63,2021-01-04,17,2021-01-19
18,Marcelina,Mordal,1990-08-23,MarcelinMo96@gmail.com,833853211,434,2021-01-05,18,2021-01-19
19,Anica,Römer,1951-03-27,AnicRöm3@gmail.com,751951687,178,2021-01-05,19,2021-01-15
20,Maksymilian,Klinger,1968-11-12,MaksKlin4@gmail.com,838074477,152,2021-01-05,20,2021-03-24
21,Stanisław,Prejs,2010-06-14,StanisłaPr@live.com,603748811,284,2021-01-05,21,2021-02-23
